Label	IHCC Browser Label	Parent	Definition	Definition Source	Category	Class Type	About	Inheres In	Part Of	Comment
LABEL	A 'IHCC browser label'	SC % SPLIT=|	A definition	A definition source	A 'IHCC category'	CLASS_TYPE	C 'is about' some %	C 'inheres in' some %	C 'part of' some %	A comment
timeline	timeline	directive information entity	A directive information entity that specifies the sequence in which a series of events occurred or will occur.		basic cohort attributes					
population data item	population data	data item	A data item that is about a population of organisms.		basic cohort attributes	equivalent	collection of organisms			
population location	location	population data item	A population data item that is about the geographical location of a population of organisms.		population data		geographical location			
population size	num. participants	sample size	A sample size that is about the count of individual organisms in a population.		population data		collection of organisms			
population quality	demographic data	quality	A quality which inheres in a population of organisms.		basic cohort attributes	equivalent		collection of organisms		
population sex or sexes	sex(es) studied in cohort	population quality	A population quality concerning the sex or sexes of the population.		demographic data																							
population gender or genders	gender(s) studied in cohort	population quality	A population quality concerning the gender or genders of the population.		demographic data																							
population age range	age range	population quality	A population quality concerning the age range of a population.		demographic data																							
data collection	data collection events	planned process	A planned process that is a part of an investigation in which raw data is collected.		basic cohort attributes					
blood collected from fasting subject	fasting or non-fasting	blood	Blood that is collected from an organism which has been fasting for a given amount of time.		blood					
biosample storage	storage method	storage	A storage process for a biosample collected from an organism.		biosample					
genomic assay	genomics	assay	An assay that investigates the genome or genomes of an individual organism or population of organisms.		laboratory measures					Merged GECKO 'data type' into 'genomics'.
microbiome sequencing assay	Microbiome markers (rRNA, etc)	genomic assay	A genomic assay that profiles the microorganisms present in a sample.		genomics					Potential new OBI request
eQTL analysis	eQTL (Cis eQTLs and/or Trans eQTLs)	genomic assay	A genomic assay that identifies genetic loci and candidate genes correlated with phenotypes.	PMID:27964730	genomics					Potential new OBI request
biosample size	sample size	count	A count of the number of biosamples collected for an investigation.		biosample					
biosample processing	processing method	material processing	A material processing which prepares a biosample for investigation.		biosample					
unique identifier	unique identifiers	identifier	An identifier that is guaranteed to be unique among all identifiers in a particular domain.	Wikipedia:Unique_identifier	survey administration					
gender	gender	organismal quality	An organismal quality inhering in a bearer by virtue of the bearer's preference towards a range of characteristics pertaining to, and differentiating between, masculinity and femininity.	Wikipedia:Gender|PATO:0000047	socio-demographic and economic characteristics					
ethnicity	ethnicity/race	organismal quality	An organismal quality inhering in a bearer by virtue of the bearer's identification with a group of other individuals on the basis of presumed similarities such as language or common ancestry.	Wikipedia:Ethnic_group	socio-demographic and economic characteristics					
birthplace location	birthplace	geographical location	A geographical location in which an individual was born.		socio-demographic and economic characteristics					
residence location	residence	geographical location	A geographical location in which an individual currently resides.		socio-demographic and economic characteristics					
education level	education	organismal quality	An organismal quality inhering in a bearer by virute of the bearer's highest level of formal education completed.		socio-demographic and economic characteristics					
family and household structure	family and household structure	information	Information that is about the structure of an individual's family and/or household.		socio-demographic and economic characteristics																							
lifestyle history	lifestyle and behaviours	clinical history	A clinical history that is about the lifestyle and behaviors of an individual which may impact health outcomes.		questionnaire/survey data					
