ID	Label	Type																							
ID	LABEL	TYPE																							
BFO:0000050	part of	owl:ObjectProperty
GECKO:9000000	IHCC category	owl:AnnotationProperty
GECKO:9000001	IHCC browser label	owl:AnnotationProperty
IAO:0000112	example of usage	owl:AnnotationProperty
IAO:0000115	definition	owl:AnnotationProperty
IAO:0000118	alternative term	owl:AnnotationProperty
IAO:0000119	definition source	owl:AnnotationProperty
IAO:0000136	is about	owl:ObjectProperty
oboInOwl:hasAlternativeId	has_alternative_id	owl:AnnotationProperty
oboInOwl:hasBroadSynonym	has_broad_synonym	owl:AnnotationProperty
oboInOwl:hasExactSynonym	has_exact_synonym	owl:AnnotationProperty
oboInOwl:hasNarrowSynonym	has_narrow_synonym	owl:AnnotationProperty
oboInOwl:hasRelatedSynonym	has_related_synonym	owl:AnnotationProperty
rdfs:comment	comment	owl:AnnotationProperty
rdfs:label	label	owl:AnnotationProperty
rdfs:seeAlso	see also	owl:AnnotationProperty
RO:0000052	inheres in	owl:ObjectProperty
